lot_id,tool_id,chamber_temp,chamber_pressure,etch_time,film_thickness,defect_count,final_yield,risk_label
LOT_001,TOOL_C,85.1,2.05,54.92,99.54,15,83.82,1
LOT_002,TOOL_B,78.36,1.87,54.54,106.51,5,93.77,0
LOT_003,TOOL_A,93.88,2.16,60.45,89.55,31,71.19,1
LOT_004,TOOL_B,87.77,2.06,60.85,102.56,14,84.67,1
LOT_005,TOOL_C,86.66,2.42,60.81,106.09,12,84.14,1
LOT_006,TOOL_D,82.77,2.89,64.01,108.59,16,80.6,1
LOT_007,TOOL_B,86.6,2.33,53.86,104.78,15,87.51,0
LOT_008,TOOL_C,84.85,2.54,60.65,103.6,5,93.59,0
LOT_009,TOOL_C,81.89,2.07,67.78,98.07,20,77.09,1
LOT_010,TOOL_C,79.97,2.14,55.71,94.67,11,85.9,0
LOT_011,TOOL_B,84.75,2.23,59.22,96.27,8,88.57,0
LOT_012,TOOL_D,84.64,2.75,62.35,94.22,18,82.65,1
LOT_013,TOOL_B,85.39,2.37,62.48,92.24,9,86.41,0
LOT_014,TOOL_D,87.59,2.33,55.27,108.84,3,92.21,0
LOT_015,TOOL_C,77.63,2.26,62.56,100.97,8,86.83,0
LOT_016,TOOL_B,85.61,2.15,64.23,95.58,15,83.2,1
LOT_017,TOOL_D,82.67,2.55,59.8,110.42,12,88.1,0
LOT_018,TOOL_C,89.48,1.99,55.3,99.1,13,86.31,0
LOT_019,TOOL_C,79.56,1.92,57.92,101.16,5,89.89,0
LOT_020,TOOL_D,83.56,2.51,58.44,96.3,6,92.79,0
LOT_021,TOOL_A,84.17,2.11,62.38,99.87,4,92.2,0
LOT_022,TOOL_B,84.61,2.1,49.33,100.96,12,86.66,0
LOT_023,TOOL_A,82.14,2.15,69.5,95.21,7,91.41,0
LOT_024,TOOL_C,87.4,2.06,52.58,99.4,5,91.86,0
LOT_025,TOOL_B,89.45,2.4,61.67,91.58,11,86.71,0
LOT_026,TOOL_C,79.41,2.53,57.79,92.91,5,92.22,0
LOT_027,TOOL_B,87.38,2.5,62.2,111.66,17,83.15,1
LOT_028,TOOL_C,87.65,2.27,60.4,112.5,19,82.01,1
LOT_029,TOOL_C,81.28,2.18,61.05,96.38,10,87.65,0
LOT_030,TOOL_C,84.12,2.25,59.71,96.65,3,93.19,0
LOT_031,TOOL_B,90.65,2.13,63.13,95.62,20,77.62,1
LOT_032,TOOL_C,79.4,1.87,59.23,99.86,15,84.73,1
LOT_033,TOOL_B,80.6,1.81,61.08,97.68,13,87.47,0
LOT_034,TOOL_D,83.48,2.17,59.52,99.17,7,92.7,0
LOT_035,TOOL_D,90.76,1.99,54.81,96.97,23,75.81,1
LOT_036,TOOL_B,94.96,2.4,58.45,93.1,18,83.6,1
LOT_037,TOOL_D,92.87,1.84,59.05,102.0,19,80.28,1
LOT_038,TOOL_D,82.28,2.51,54.11,110.38,17,83.69,1
LOT_039,TOOL_B,89.59,1.86,59.29,107.45,8,90.95,0
LOT_040,TOOL_B,85.23,1.98,59.78,104.75,10,89.47,0
LOT_041,TOOL_D,85.82,2.32,56.49,96.81,11,85.42,0
LOT_042,TOOL_A,89.17,2.41,50.91,93.94,8,84.33,1
LOT_043,TOOL_D,89.43,2.57,66.64,104.73,22,77.29,1
LOT_044,TOOL_C,83.88,1.86,55.91,102.51,3,91.1,0
LOT_045,TOOL_B,82.87,2.56,57.58,107.37,11,87.64,0
LOT_046,TOOL_C,83.96,1.94,59.78,108.44,6,92.01,0
LOT_047,TOOL_C,87.55,2.35,51.47,105.2,12,84.08,1
LOT_048,TOOL_C,88.38,2.14,65.22,110.01,28,76.63,1
LOT_049,TOOL_D,76.91,2.52,59.52,114.84,29,73.17,1
LOT_050,TOOL_A,82.33,2.26,63.56,103.53,4,92.99,0
LOT_051,TOOL_D,90.24,2.29,65.85,95.73,27,69.93,1
LOT_052,TOOL_B,81.19,2.24,63.44,101.1,10,88.12,0
LOT_053,TOOL_B,88.46,2.44,59.58,102.88,15,86.25,0
LOT_054,TOOL_A,81.84,2.1,55.15,95.77,8,93.06,0
LOT_055,TOOL_C,82.13,2.63,62.24,109.37,19,83.46,1
LOT_056,TOOL_C,86.59,2.16,62.6,98.74,4,92.82,0
LOT_057,TOOL_A,88.48,1.95,58.59,94.84,10,89.67,0
